Issue Key,Summary,Issue Type,Status,Priority,Assignee,Reporter,Created,Updated,Due Date,Sprint,Labels,Components,Story Points,Fix Version,Description
PROJ-24,API - Versioning strategy,Task,To Do,Medium,dave,frank,21/May/26 9:00 AM,21/May/26 9:00 AM,30/May/26,1,,Backend,3,v2.1,API v2 versioning
PROJ-25,CI/CD - Pipeline optimization,Task,Done,Medium,henry,bob,11/May/26 9:00 AM,21/May/26 11:00 AM,20/May/26,1,,DevOps,5,v2.1,Reduce build time
PROJ-26,CI/CD - Staging environment setup,Task,Blocked,High,henry,bob,15/May/26 9:00 AM,23/May/26 9:00 AM,24/May/26,1,blocker,DevOps,5,v2.1,Blocked: AWS quota limit reached
PROJ-27,Database - Query optimization,Task,In Progress,High,dave,bob,19/May/26 9:00 AM,25/May/26 6:00 AM,28/May/26,1,,Backend,5,v2.1,Slow query fixes
PROJ-28,Database - Backup automation,Task,Done,Medium,henry,bob,12/May/26 9:00 AM,20/May/26 2:00 PM,18/May/26,1,,DevOps,3,v2.1,Automated daily backups
PROJ-29,Mobile - iOS onboarding screens,Story,In Progress,High,grace,bob,20/May/26 9:00 AM,25/May/26 10:00 AM,29/May/26,1,onboarding,Mobile,8,v2.1,iOS onboarding UI
PROJ-30,Mobile - Android onboarding screens,Story,To Do,High,grace,bob,22/May/26 9:00 AM,22/May/26 9:00 AM,31/May/26,1,onboarding,Mobile,8,v2.1,Android onboarding UI
PROJ-31,Mobile - Push notification opt-in,Task,To Do,Medium,grace,bob,22/May/26 9:00 AM,22/May/26 9:00 AM,01/Jun/26,1,,Mobile,3,v2.1,Notification permission flow
PROJ-32,UX - Accessibility audit,Task,In Progress,Medium,carol,bob,19/May/26 9:00 AM,24/May/26 4:00 PM,28/May/26,1,,Frontend,3,v2.1,WCAG 2.1 compliance
PROJ-33,UX - Dark mode support,Story,To Do,Low,carol,bob,22/May/26 9:00 AM,22/May/26 9:00 AM,05/Jun/26,1,,Frontend,5,v2.2,Dark mode theme
PROJ-34,Security - Penetration testing,Task,Blocked,Critical,frank,bob,14/May/26 9:00 AM,22/May/26 10:00 AM,23/May/26,1,blocker,Security,8,v2.1,Blocked: vendor not available until June
PROJ-35,Security - GDPR compliance review,Story,In Progress,Critical,eve,alice,16/May/26 9:00 AM,25/May/26 9:00 AM,27/May/26,1,blocker,Security,8,v2.1,GDPR audit in progress
PROJ-36,Onboarding - Localization support,Task,To Do,Medium,dave,bob,22/May/26 9:00 AM,22/May/26 9:00 AM,02/Jun/26,1,onboarding,Frontend,5,v2.1,i18n for onboarding screens
PROJ-37,Analytics - User funnel tracking,Story,In Progress,High,eve,bob,18/May/26 9:00 AM,24/May/26 1:00 PM,27/May/26,1,,Analytics,5,v2.1,Funnel analytics integration
PROJ-38,Analytics - Retention metrics,Task,To Do,Medium,eve,bob,22/May/26 9:00 AM,22/May/26 9:00 AM,01/Jun/26,1,,Analytics,3,v2.1,Cohort retention dashboard
PROJ-39,Onboarding - A/B test signup variants,Story,In Progress,Medium,alice,eve,20/May/26 9:00 AM,25/May/26 8:45 AM,30/May/26,1,onboarding,Frontend,5,v2.1,A/B test two signup flows
PROJ-40,Sprint retrospective action items,Task,To Do,Low,bob,bob,22/May/26 9:00 AM,22/May/26 9:00 AM,29/May/26,1,,Management,1,v2.1,Document retro action items
